msg_id,user_id,user_nick_name,user_msg_count,user_points,user_level,topic,Company,message,Date,Time,msg_like_count,msg_reply_count,msg_repost_count,urlThread,urlTopic,NSE_current_price,NSE_price_change,NSE_price_change_percentage,BSE_current_price,BSE_price_change,BSE_price_change_percentage,Post,sentiment,sentiment_score
112013678,FUgl96jV7h,babuamrit,3405,1834,0,ITC,ITC,itc may react today positively due to sanjiv puri positive outlook in b20 summit,2023-08-28,08:10:49,0,0,0,httpsmmbmoneycontrolcomforumtopicsstocksitcthreadmessage110213678112013678html,httpsmmbmoneycontrolcomforumtopicsstocksitc341html,420.7879333496094,-3.431896577460293,-0.808990135621499,420.74755859375,-3.479610285691706,-0.820223347524579,itc may react today positively due to sanjiv puri positive outlook in b20 summit,positive,0.9333
112028094,DqOrb5qgnV,himanshuYadav,469,15,0,ITC,ITC,The rome is falling finally,2023-08-28,22:21:11,0,0,0,httpsmmbmoneycontrolcomforumtopicsstocksitcthreadmessage110228094112028094html,httpsmmbmoneycontrolcomforumtopicsstocksitc341html,420.7879333496094,-3.431896577460293,-0.808990135621499,420.74755859375,-3.479610285691706,-0.820223347524579,The rome is falling finally,negative,0.868
112028048,mXoCvgCRFo,rajKamat,192,48,0,ITC,ITC,sanjiv Puri ko nikalo yar ITC se uske bass ka nhi hae abb retirement lene bolo usko,2023-08-28,22:16:34,0,0,0,httpsmmbmoneycontrolcomforumtopicsstocksitcthreadmessage110228048112028048html,httpsmmbmoneycontrolcomforumtopicsstocksitc341html,420.7879333496094,-3.431896577460293,-0.808990135621499,420.74755859375,-3.479610285691706,-0.820223347524579,sanjiv Puri ko nikalo yar ITC se uske bass ka nhi hae abb retirement lene bolo usko,neutral,0.8754
112028008,mXoCvgCRFo,rajKamat,192,48,0,ITC,ITC,Ive bought 1000 quantities of ITC at 560 aur yeh gire ja rha I will buy 1000 more tomorrow  sare stock upar ja rha aur yeh ludke ja rha management shayd share beech rha Mera bass chale toh sanjiv Puri ko lath marke nikal du,2023-08-28,22:12:51,0,0,0,httpsmmbmoneycontrolcomforumtopicsstocksitcthreadmessage110228008112028008html,httpsmmbmoneycontrolcomforumtopicsstocksitc341html,420.7879333496094,-3.431896577460293,-0.808990135621499,420.74755859375,-3.479610285691706,-0.820223347524579,Ive bought 1000 quantities of ITC at 560 aur yeh gire ja rha I will buy 1000 more tomorrow  sare stock upar ja rha aur yeh ludke ja rha management shayd share beech rha Mera bass chale toh sanjiv Puri ko lath marke nikal du,neutral,0.8344
112026618,nirmal16,Subu80,605,369,-1,ITC,ITC,Hopefully it will take support at 440 and bounce back ðŸžðŸžðŸžðŸžðŸžðŸžðŸžðŸž,2023-08-28,19:56:00,0,0,0,httpsmmbmoneycontrolcomforumtopicsstocksitcthreadmessage110226618112026618html,httpsmmbmoneycontrolcomforumtopicsstocksitc341html,420.7879333496094,-3.431896577460293,-0.808990135621499,420.74755859375,-3.479610285691706,-0.820223347524579,Hopefully it will take support at 440 and bounce back ðŸžðŸžðŸžðŸžðŸžðŸžðŸžðŸž,positive,0.9382
112026598,moh333,risingstar333,564,518,0,ITC,ITC,daily routine open on high and closed in red or low,2023-08-28,19:54:18,0,0,0,httpsmmbmoneycontrolcomforumtopicsstocksitcthreadmessage110226598112026598html,httpsmmbmoneycontrolcomforumtopicsstocksitc341html,420.7879333496094,-3.431896577460293,-0.808990135621499,420.74755859375,-3.479610285691706,-0.820223347524579,daily routine open on high and closed in red or low,neutral,0.9163
112025090,FUgl96jV7h,babuamrit,3405,1834,0,ITC,ITC,maximum ITc may fall till rs 420 or may reverse before that one should add now on every dips,2023-08-28,17:30:36,0,0,0,httpsmmbmoneycontrolcomforumtopicsstocksitcthreadmessage110225090112025090html,httpsmmbmoneycontrolcomforumtopicsstocksitc341html,420.7879333496094,-3.431896577460293,-0.808990135621499,420.74755859375,-3.479610285691706,-0.820223347524579,maximum ITc may fall till rs 420 or may reverse before that one should add now on every dips,neutral,0.5649
112024366,Nwf9vYWdZK,BullForSure09,42,2,0,ITC,ITC,Sanjiv Puri Chairman and Managing Director of ITC highlighted the importance of considering cost implications when implementing environmental social and governance ESG frameworks for small enterprises in India Puri emphasized the need for economically viable models and solutions to control the costs of ESG compliance for MSMEs as an inflationary environment could negatively impact growth,2023-08-28,16:12:02,0,0,0,httpsmmbmoneycontrolcomforumtopicsitcthreadmessage110224366112024366html,httpsmmbmoneycontrolcomforumtopicsstocksitc341html,420.7879333496094,-3.431896577460293,-0.808990135621499,420.74755859375,-3.479610285691706,-0.820223347524579,Sanjiv Puri Chairman and Managing Director of ITC highlighted the importance of considering cost implications when implementing environmental social and governance ESG frameworks for small enterprises in India Puri emphasized the need for economically viable models and solutions to control the costs of ESG compliance for MSMEs as an inflationary environment could negatively impact growth,neutral,0.6668
112023352,LhQ7wuQU9a,kuna123,179,79,0,ITC,ITC,Everyday this share negative if market good or bad there is no impact Bad management should be change investor money eat and sit within 10day go below 400,2023-08-28,15:17:05,0,0,0,httpsmmbmoneycontrolcomforumtopicsstocksitcthreadmessage110220766112023352html,httpsmmbmoneycontrolcomforumtopicsstocksitc341html,420.7879333496094,-3.431896577460293,-0.808990135621499,420.74755859375,-3.479610285691706,-0.820223347524579,Everyday this share negative if market good or bad there is no impact Bad management should be change investor money eat and sit within 10day go below 400,neutral,0.9009
112020766,mXoCvgCRFo,rajKamat,192,48,0,ITC,ITC,arey hutiya sanjiv Puri market itna accha he taab bhi yeh stock gire ja rha abbe short seller mc abb bass kar yeh sanjiv Puri ko itc se nikal phekna chahiye tha,2023-08-28,13:34:13,1,1,0,httpsmmbmoneycontrolcomforumtopicsstocksitcthreadmessage110220766112020766html,httpsmmbmoneycontrolcomforumtopicsstocksitc341html,420.7879333496094,-3.431896577460293,-0.808990135621499,420.74755859375,-3.479610285691706,-0.820223347524579,arey hutiya sanjiv Puri market itna accha he taab bhi yeh stock gire ja rha abbe short seller mc abb bass kar yeh sanjiv Puri ko itc se nikal phekna chahiye tha,neutral,0.8781
